fire_num,feature_cd,fire_link,fire_stat,fire_sz_ha,fire_year,load_date,objectid,source,track_date,versn_num,longitude,latitude,coordinate
G73140,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G73140,Under Control,10.8,2023,2023-09-13,2193845,Non-corrected ground GPS,2023-09-13,2023091301,-120.185,56.009,"[-120.185, 56.009]"
G90288,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90288,Being Held,768915.0,2023,2023-09-13,2193890,Derived from satellite imagery,2023-09-12,2023091202,-120.766,60.123,"[-120.766, 60.123]"
V11152,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V11152,Out,175.1,2023,2023-07-17,2194199,Non-corrected airborne GPS,2023-07-17,2023071701,-122.234,49.308,"[-122.234, 49.308]"
G80223,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80223,Under Control,2947.5,2023,2023-05-12,2193864,Non-corrected airborne GPS,2023-05-12,2023051201,-121.267,56.422,"[-121.267, 56.422]"
V81938,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V81938,Out,121.9,2023,2023-09-19,2194243,Non-corrected airborne GPS,2023-09-18,2023091801,-126.12,49.609,"[-126.12, 49.609]"
C50254,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C50254,Out,0.8,2023,2023-10-26,2193692,Non-corrected ground GPS,2023-05-10,2023051001,-125.282,52.458,"[-125.282, 52.458]"
G62150,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G62150,Under Control,688.4,2023,2023-10-05,2193813,Non-corrected airborne GPS,2023-10-05,2023100501,-123.173,55.83,"[-123.173, 55.83]"
G70366,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70366,Out,1.5,2023,2023-05-21,2193833,Non-corrected ground GPS,2023-05-19,2023051901,-120.61,55.96,"[-120.61, 55.96]"
G83130,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G83130,Under Control,673.5,2023,2023-09-25,2193886,Derived from satellite imagery,2023-09-24,2023092401,-121.738,58.232,"[-121.738, 58.232]"
V13025,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V13025,Out,1.7,2023,2023-09-06,2194205,Digitized other,2023-09-06,2023090601,-121.721,49.314,"[-121.721, 49.314]"
K20627,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20627,Out,1.6,2023,2023-06-09,2193937,Non-corrected ground GPS,2023-06-05,2023060501,-120.714,50.776,"[-120.714, 50.776]"
N10166,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N10166,Out,3.4,2023,2023-05-11,2194030,Non-corrected ground GPS,2023-05-09,2023050901,-116.035,49.654,"[-116.035, 49.654]"
V83080,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V83080,Out,8.2,2023,2023-09-19,2194255,Non-corrected airborne GPS,2023-09-18,2023091801,-125.743,49.938,"[-125.743, 49.938]"
K20469,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20469,Out,1711.6,2023,2023-10-30,2193936,Digitized other,2023-10-27,2023102701,-119.556,52.13,"[-119.556, 52.13]"
R21673,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R21673,Under Control,4369.3,2023,2023-09-17,2194145,Non-corrected airborne GPS,2023-09-10,2023091001,-126.65,53.818,"[-126.65, 53.818]"
C51944,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C51944,Out,1.8,2023,2023-10-10,2193701,Non-corrected ground GPS,2023-07-21,2023072101,-124.008,52.028,"[-124.008, 52.028]"
G81530,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G81530,Under Control,6108.9,2023,2023-09-13,2193878,Derived from satellite imagery,2023-09-13,2023091301,-120.125,57.469,"[-120.125, 57.469]"
K21382,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21382,Out,650.3,2023,2023-07-10,2193942,Hand sketch of any type,2023-07-10,2023071001,-120.037,52.15,"[-120.037, 52.15]"
K40541,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K40541,Out,4.7,2023,2023-05-31,2193968,Non-corrected ground GPS,2023-05-31,2023053101,-119.376,50.46,"[-119.376, 50.46]"
R13068,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R13068,Under Control,418.9,2023,2023-09-21,2194131,Non-corrected airborne GPS,2023-09-20,2023092001,-126.937,53.43,"[-126.937, 53.43]"
C50129,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C50129,Out,10.1,2023,2023-05-01,2193691,Non-corrected ground GPS,2023-04-29,2023042901,-123.838,51.482,"[-123.838, 51.482]"
N42935,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N42935,Out,4.7,2023,2023-09-22,2194069,Non-corrected airborne GPS,2023-09-21,2023092101,-118.128,50.793,"[-118.128, 50.793]"
N41861,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N41861,Out,131.1,2023,2023-09-22,2194056,Non-corrected airborne GPS,2023-09-21,2023092101,-118.04,51.92,"[-118.04, 51.92]"
R51402,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R51402,Being Held,253.0,2023,2023-07-16,2194175,Hand sketch of any type,2023-07-14,2023071401,-127.848,53.236,"[-127.848, 53.236]"
C51919,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C51919,Out,26.5,2023,2023-07-22,2193700,Non-corrected ground GPS,2023-07-21,2023072101,-123.587,52.271,"[-123.587, 52.271]"
K70037,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K70037,Out,13.0,2023,2023-04-25,2194013,Non-corrected ground GPS,2023-04-15,2023041501,-122.83,50.869,"[-122.83, 50.869]"
G51411,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51411,Being Held,451.6,2023,2023-09-10,2193774,Processed IR image,2023-09-10,2023091001,-125.339,55.328,"[-125.339, 55.328]"
K22003,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K22003,Out,13.0,2023,2023-10-20,2193951,Non-corrected ground GPS,2023-09-05,2023090501,-120.221,50.587,"[-120.221, 50.587]"
K21795,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21795,Out,1.5,2023,2023-07-19,2193949,Non-corrected ground GPS,2023-07-08,2023070801,-119.427,51.449,"[-119.427, 51.449]"
V10588,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V10588,Out,724.8,2023,2023-06-15,2194196,Hand sketch of any type,2023-06-15,2023061501,-121.983,49.499,"[-121.983, 49.499]"
K22463,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K22463,Out,4.5,2023,2023-08-08,2193958,Non-corrected airborne GPS,2023-08-08,2023080801,-120.358,52.513,"[-120.358, 52.513]"
R21998,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R21998,Out,30.6,2023,2023-07-21,2194146,Hand sketch of any type,2023-07-21,2023072101,-127.196,54.115,"[-127.196, 54.115]"
R11388,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R11388,Under Control,3020.2,2023,2023-07-20,2194120,Hand sketch of any type,2023-07-20,2023072001,-126.105,53.446,"[-126.105, 53.446]"
G70645,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70645,Under Control,25065.9,2023,2023-06-18,2193837,Non-corrected ground GPS,2023-06-18,2023061801,-120.636,55.179,"[-120.636, 55.179]"
V90779,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V90779,Out,7.5,2023,2023-06-16,2194258,Non-corrected ground GPS,2023-06-15,2023061501,-126.925,50.289,"[-126.925, 50.289]"
C10395,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C10395,Out,19.0,2023,2023-05-23,2193626,Non-corrected ground GPS,2023-05-19,2023051901,-121.624,53.295,"[-121.624, 53.295]"
C40392,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C40392,Out,23.7,2023,2023-05-22,2193677,Non-corrected airborne GPS,2023-05-21,2023052102,-121.316,52.056,"[-121.316, 52.056]"
R10185,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R10185,Out,3.0,2023,2023-11-23,2194108,Hand sketch of any type,2023-11-20,2023112001,-125.806,54.2,"[-125.806, 54.2]"
N12352,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N12352,Out,3457.9,2023,2023-10-31,2194037,Digitized other,2023-10-30,2023103001,-115.431,49.684,"[-115.431, 49.684]"
N72419,JA70003000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N72419,Out,519.8,2023,2023-08-28,2194101,Derived from satellite imagery,2023-08-09,2023080902,-117.05,50.744,"[-117.05, 50.744]"
